epoch,cohen_kappa,loss,lr,val_cohen_kappa,val_loss
0,0.4349824786186218,1.606095314025879,0.0003,0.09367597103118896,6.988504409790039
1,0.5854381322860718,1.4237421751022339,0.0003,0.04998236894607544,2.1846582889556885
2,0.6453179121017456,1.3163588047027588,0.0003,1.1920928955078125e-07,2.137343645095825
3,0.6973661780357361,1.2216823101043701,0.0003,-0.006435275077819824,2.5668599605560303
4,0.825474739074707,0.9299674034118652,9e-05,0.3746689558029175,2.046187400817871
5,0.8954499959945679,0.7132797241210938,9e-05,0.4262268543243408,1.9287537336349487
6,0.935702383518219,0.5229884386062622,9e-05,-0.006967067718505859,4.4748101234436035
7,0.9662837982177734,0.31808018684387207,2.7e-05,0.6197882890701294,2.643129348754883
8,0.9812811613082886,0.22709126770496368,8.1e-06,0.6248159408569336,3.0087661743164062
9,0.985069751739502,0.19712354242801666,2.43e-06,0.6212607622146606,2.9391191005706787
10,0.9840590357780457,0.1930416226387024,1e-06,0.6294436454772949,2.913874387741089
11,0.9845816493034363,0.19017158448696136,1e-06,0.6274603605270386,2.9723758697509766
12,0.9865759015083313,0.18475179374217987,1e-06,0.6255961656570435,2.9773948192596436
13,0.9846513867378235,0.18534250557422638,1e-06,0.6267116069793701,2.990100622177124
14,0.9843014478683472,0.18191981315612793,1e-06,0.6254385113716125,3.0516719818115234
